clip,system,wer,cer,ref_words,hyp_words,script_mismatch,hyp_text,ref_text
clip01,faster-whisper:large-v3,0.9375,0.2396,16,17,False,Ber-tada. Ber-ti. Buu didda. Waaah. Aba. Ma ber-baa. Qurruxda qabarda. Marki. Waxaan arkay halrati.,beertaada beertii boodidda waax aabbe Ma beer|f baa? quruxda gabadha markii Waxaan arkay hal rati.
clip02,faster-whisper:large-v3,0.6842,0.1892,19,17,False,"u firso sawirka, oo u shegma aalinkaaga wahaadku arakteed. Kab, nasibdarro. Tahayt. Naf, miyay timid oo yada.",U fiirso sawirka oo u sheeg macallinkaaga waxa aad ku aragtid. kab nasiibdarro tahay neef|m Miyay timid hooyadaa?
clip03,faster-whisper:large-v3,0.8125,0.2526,16,14,False,"Kismayu, ayy aadii. Mawaha, diggan tahay moqdishu. Kala. Haa, huu yaday, waitimid. Waadad. Meet.","Kismaayo ayay aadday. Ma waxaad deggan tahay Muqdisho? kala Haa, hooyaday way timid. Waa cadad. miid"
clip04,faster-whisper:large-v3,0.7222,0.1818,18,13,False,"Dulalka, miiid, sifiyaan isugu garaa, isku jirkaas, labanagot, keeba urdaya, dabjog, waa laboda.",dulalka miid Si fiican isugu garaac isku-jirkaas. labo naagood Kee baa ordaya? dab-joog Waa la boodaa.
clip05,faster-whisper:large-v3,0.9565,0.3448,23,24,False,Yadu ma xa noosan a. Giyamitu anarki. Uy urdaan. Buqar kaya na. Xalbari o uusub. Kaniva aqal ka Ali. Ali labadisali ood. Gaariga Mahamed.,Iyadu ma xannuunsana. Ninkii yimid waan arkay. Way ordeen. boqorkeenna hal bare oo cusub Kani waa aqalka Cali. Cali labadiisa dhegood gaariga Maxamed
clip06,faster-whisper:large-v3,0.85,0.3148,20,20,False,Makoo fiyadbaa Hal duke oo weyn Shaa kaadee dha Labadu mar aaha wako roh badan Kaan dhamidee Geesi Mo sooyibso,Ma koofiyad baa? hal tuke oo weyn sheekadeeda labo dumar ah oo qurux badan gacanta midig geesi Moos soo iibso!
clip07,faster-whisper:large-v3,0.85,0.2422,20,20,False,"Haa, waa narkaay. Inaan, afayyayn, mugdishu, u safray. Indi hiisa. Kabta. Kabar. Gortas, ay dabayshi kuafu fta itaalka hidi oda.","Haa, waan arkay. inan|f afhayeen Muqdishuu u safray. indhihiisa kabta gabar Goortaas ayay Dabayshii ku afuuftay itaalkeedii oo dhan."
clip08,faster-whisper:large-v3,0.7273,0.1772,11,10,False,Buuqaag Kabaynaya Oomati Mariam Ishaasir Hoeya daawa ma'alimat Dadka Oomin,buugaag kabaynayaa oomati Maryan ishaas yar Hooyadaa waa macallimad. dadka oomin
clip09,faster-whisper:large-v3,0.8824,0.2885,17,21,False,Kani waa u baxa. Albuqar. Shayka caayla. Fiiri. Waan heli doona. Buu gaak tiisa u soob kaya baad ahirsi. Ali miya.,Kani waa ubax. boqor sheeko jacayl Fiiri. Waan heli doonaa. Buugaagtiisa cusub kee baad akhrisay? Cali miyaa?
clip10,faster-whisper:large-v3,0.9048,0.3305,21,20,False,kusobaad saa roo ayaanarka magaalo walaasha i guri gey chokta dubta saaf ma naaf ba soore gey dagan ta yado,Ku soo bood! Sahro ayaan arkay. magaalo Walaashay gurigay joogtaa. Dubta. seef Ma neef|f baa? fure Xagee deggen tahay iyadu?
clip11,faster-whisper:large-v3,0.8667,0.2688,15,15,False,qorar aanaha saad ragga sada dhawiyil aya dhammaante diso maalmo qafar ah oo horay say,goror caanaha saca raggaa Saddexda wiil ayaad ammaantay. OSV Dhiso. maalmo afar ah oo horreysay
clip12,faster-whisper:large-v3,0.9231,0.3146,13,14,False,"Berbera, waa, ii, uu, ti, nimaanka, wadooyinka wada, waa la'una, ri, hooyadamia, buu gawilka.",Berbera Waa yimid. nimanka waddooyinkooda Waa la cunaa. riday Hooyadaa miyaa? buugga wiilkee
clip13,faster-whisper:large-v3,0.8571,0.4211,21,14,False,geelaj jogee adayarkaay waxaa uu abuuda inu digaagadda dibadda inu gu suwasaaro yaayimit silsiladdeyda,ninkii la joogay adeerkay SVO Waxa uu awoodaa in uu digaagadda dibadda inoogu soo saaro. Yaa yimid? silsiladdayda Magaciisu waa Maxamed.
clip14,faster-whisper:large-v3,0.6667,0.2346,12,11,False,Naaq. Muuyayyal. Aaf. Qayblibaax. Ananiyo. Kani waa hodan aabihayad. Ul. Sahankayana.,naag mooyayaal oof qayb libaax annaanniyo Kani waa Hodan aabbaheed. ul saxankeenna
clip15,faster-whisper:large-v3,0.9,0.2667,20,17,False,"Nimaan waatee taan urdiysa. Ninkibaa libaah hii qabtay. Abdi wa oo kayyariyay, Ali. Sa qabar? Aafo. Kuwas.",niman Waa tee tan ordaysa? Ninkii baa libaaxii qabtay. OSV Cabdi waa uu ka yar yahay Cali. gabar aafo kuwaas
clip16,faster-whisper:large-v3,0.8235,0.1835,17,16,False,Mara ayay ilmuhu hoyo lamay rayaan. Wa taqqaan. Qubadda miska. Weyn a'usub. Qafuweyl. Sabtiyaas. Kalkaali sadaa.,Maro ayay ilmuhu hooyo la mayrayaan. Waa taqaan. kubbadda miiska weyn oo cusub qof weyn Sabtigaas kalkaalisadee
clip17,faster-whisper:large-v3,0.8235,0.29,17,14,False,"Sindaha oo dhannab, suruweerlo. Warihii hal yu lammalai. Mamxalayri ahda. Guwabiga. Halitir. Waa helen.",indhaha oo dhan surwaallo Wariyihii hal yuu la maalay? Maxaa la yiraahdaa? webiga hal litir Waa heleen.
clip18,faster-whisper:large-v3,0.6667,0.2444,12,11,False,"walal, skool, loogadayati, moosanarki, arruuray, istagsan, hal gabar, qalinyal, furaha guriga.",walaal iskuul luqadeed Muusaan arkay. Carruurey! istaagsan hal gabar qalinyaal furaha guriga
clip19,faster-whisper:large-v3,1.2308,0.2532,13,16,False,Adawgay soo maa liya A-abur Wadna hayga Tus Yar yar Aqal Uw adu fiyayay So,cadowga Soomaaliya aabbur wadnahayga Tus! yaryar aqal Wuu aad u fiican yahay. soo
clip20,faster-whisper:large-v3,0.9167,0.3291,12,11,False,qalima laqta hajjaj ulil kaqa magalayar shayqid qawariyar oo qorxoon wabi,qalimmo lacagta Hayaay! wiilkaaga magaalo yar sheegid gabadh yar oo qurxoon webi
clip21,faster-whisper:large-v3,0.8095,0.344,21,20,False,Huay shayaktay. Bir kuuda? Huarir huay. Abid. Yii did. Maali kuula kuulbay. Falsawa orod. Essanad. Kani waa iskuulka Ahmadiye sahru.,Way sheegtay. wiilkooda Waa reer weyn. cabbid iidid Macallinkuu la kulmay. Bal soo orod! sannad Kani waa iskuulka Axmed iyo Sahro.
clip22,faster-whisper:large-v3,0.8421,0.2451,19,16,False,wadda tali waa hamdi gaarigi mahamad ku sobaad niki jimitu waa arkay sagu hagag makabba daga,waddo Tani waa Xamdi. gaarigii Maxamed Ku soo bood! Ninkii yimid wuu arkay isagu. hagaag Ma kab baa? dhego
clip23,faster-whisper:large-v3,0.7647,0.2895,17,17,False,Saar ayaa araktaay. Eray. Waan ka'ay. Ulu lkaas. Mariyanta. Sifiyaan u dabaalan taqaan waa sahibu d-dayda.,Sahro ayaa aragtay. erayo Waan kacay. ololkaas duulaya|light Maryanta si fiican u dabaalan taqaan waa saaxiibaddayda.
clip24,faster-whisper:large-v3,0.9444,0.3363,18,18,False,Asago maxano wassana iyo. Ma ilin baa. Taariko Somalia. Dayi. Aanam aabta. Aan tago. Yado maxano wassana iso.,Isagu ma xannuunsanayo. Ma illin|m baa? taariikhda Soomaaliya Day! Caano ma cabtaa? Aan taago. Iyadu ma xannuunsanayso.
clip25,faster-whisper:large-v3,1.0,0.3019,16,16,False,Tana ma'ir badaa Luqadda am xaaradda Uubadda Gabad Gurox badan Wa n'abayna Wa n'agaya Guwa n'imakwaara,Tani ma cirbadaa? luuqadda Amxaarada uubato gabadh qurux badan Waan cabbaynaa. Waan eegayaa. Kuwani ma kooraa?
clip26,faster-whisper:large-v3,0.7647,0.2473,17,18,False,xal xabbo oo moosqa. Indahaan yer-yer. Aba. Rab. Bad. Hamali. Mindi. Xal ee. Subax. Hoi ya timid.,hal xabbo oo moos ah indhahan yaryar aabbe roob beed xammaali mindi hal ey subax Hooyaa timid.
clip27,faster-whisper:large-v3,0.95,0.3367,20,10,False,Sadeh Yaabar Masbaanintili Magaalo Baar Makubadba Iyidid Halbabur Kusabad Aad,saddex yaaban Mas baa nin dilay. SOV magaalo beer|m Ma kubbad baa? iidid hal baabuur Ku soo bood! eed
clip28,faster-whisper:large-v3,1.4375,0.3667,16,25,False,Qalima dha. Silsila dhaha yiga. Du kaan la. Ninkin li baax hii qabtay. Miuu lahad la. Baal diyo. La baga naa sato'u buwan-buwan ahaksan.,qalimmada silsiladahayga dukaanle Ninkii libaaxii qabtay miyuu la hadlay? S/SOVAV baaldiyo labo ganacsato oo waawanaagsan
clip29,faster-whisper:large-v3,0.8182,0.2336,22,18,False,"Iskulka oo maa urdaya, mawadisho, aqalka martida, hasan madjifa, waxanay ma samaynaya, waxooda, aqalka, maddibiba, maskiiba, ninki, dili.",Iskuulka uma ordayaan. Muqdisho aqalka martida Xasan ma jiifaa? Waxna ma sameynayaan. waxooda aqalka Ma dibi baa? Maskii baa ninkii dilay. SOV
clip30,faster-whisper:large-v3,0.8667,0.25,15,15,False,"Soortan ninko kaanay, oo yaday ayaa karisay. Waddooyin. Kulli geenu xanubahan na hiddi kanan. Anchego.",Soorta ninku keenay hooyaday ayaa karisay. waddooyin Kulligeen waxaan u baahan nahay degganaan. Aan sheego.
clip31,faster-whisper:large-v3,0.7333,0.2019,15,16,False,Hargaysa wa maqaalaw weyn. Shakadab Mahamad Qabanayyo. Wabihi buqaq. Ilka hayda las geel. Markay u safartay.,Hargeysa waa magaalo weyn. shaqada Maxamed qabanayo webigii buugaag ilkaheeda Laas Geel Markay u safartay.
clip32,faster-whisper:large-v3,0.8889,0.2458,18,18,False,"Soortii ban karina yaa Ooman Dar Mahay samayna yaa, u labada qabdoot Kani waad, kin Mindidi Mahamad Awaynayd",Soortii baan karinayaa. oomman Cab! daar|f Maxay sameynayaan labada gabdhood? Kani waa kiinna. mindidii Maxamed ee weynayd
clip33,faster-whisper:large-v3,0.95,0.225,20,19,False,"Ab, aal, wayimid, suldaanka, wayi oktahay, abhiis, wayimid, bidax, ishayar. Arda daka muu qata, sawirka, ma hay fiyir raya.",Cab! ceel Waa yimid. suldaanka Way og tahay. Aabbihiis wuu yimid. bidix isha yar Ardada ka muuqata sawirka maxay fiirinayaan?
clip34,faster-whisper:large-v3,0.9375,0.2807,16,18,False,Anu u kalloon ma'a noo. Waalibaxiyo. Tani ma'a ma'a limadisa. Aba. Burahas. Bixinaya. Hu yadid shagada ayay ahdi.,Anigu kalluun ma cuno. Waa libaaxyo. Tani ma macallimaddiisaa? aabbe buurahaas bixinaya Hooyadeed shaqada ayay aadday.
clip35,faster-whisper:large-v3,0.7692,0.1364,13,15,False,"Tani waa gabar Iibsada Iradi Kayiga Nafsasho Maa arak tayi, dadka dhisa ya guriga Lantayda",Tani waa gabadh. Iibsada. iraadi kayga neefsasho Ma aragtay dadka dhisaya guriga? laantayda
clip36,faster-whisper:large-v3,0.8421,0.1894,19,23,False,Har geysa waa magaalaa weyn. Kani waa kaan naga. Huwar samay. Farasay. Waan aqaanaa radaayda oo eedil. Mahkamadda goblka. Urayaasha iyo baxar rada.,Hargeysa waa magaalo weyn. Kani waa kaanaga. Warsame! farasey! Waan aqaannaa ardayda oo idil. maxkamadda gobolka qorayaasha iyo boqorrada
clip37,faster-whisper:large-v3,0.7778,0.2451,18,15,False,Waxaan arkayxal fati iyaxal maroodi Magaalu Taibtu Addaan Daayyar Af amxari Sa Wa inan Suban,Waxaan arkay hal rati iyo hal maroodi. magaalo taagto daanka daanyeer af-Amxaari soo Waa inan|m. Suubban
clip38,faster-whisper:large-v3,1.0,0.3373,11,12,False,"Peri lady Somaliya Somalida Biya da Idan Dadka Eek, bisaddu awa intahay",beeraleydii Soomaaliyeed Soomaalida biyodhac idan dadkaa Éeg! Bisaddu waa weyn tahay.
clip39,faster-whisper:large-v3,0.9412,0.2162,17,20,False,Faras kaaga kanu agur iya ali iyo saa roo. Bodit biyaha. Hibib geel maaysamay naysaa hoyo. Aanog riyaad. Ning kan.,faraskaaga Kani waa gurigii Cali iyo Sahro. boodid biyaha hilib geel Maxay samaynaysaa hooyo? caano riyaad ninkan
clip40,faster-whisper:large-v3,0.6818,0.3091,22,21,False,"Af, ee dur huwaa eriyadey. Hel, weelka, huwaayoon la lomaay. Arad, haa burburin, buu soo daa. Haa waan arkay, handa kawar.","af ey dhurwaa eryaday OSV Hel wiilka hooyo la lumay. orod Ha burburin.|tr Wuu socdaa. Haa, waan arkay hadda ka hor."
clip41,faster-whisper:large-v3,0.8,0.217,15,11,False,"waraaabaa muran wazzaradda waxbarashadda berbera buutagaya ilmuhu, xooya, maraab miyayla mayrayaam",waraabe Ma cabbayno. muran wasaaradda waxbarashada Berbera buu tagayaa. Ilmuhu hooyo maro miyay la mayrayaan?
clip42,faster-whisper:large-v3,0.8333,0.2532,12,11,False,Madh Bukilir aanu ku jira. Liin Naseeb Doliyada Waatimid Maraya Fertada,mood bakeeriga caano ku jiro liin nasiib doolliyada Waa timid. marayaa feertaada
clip43,faster-whisper:large-v3,1.0588,0.2326,17,22,False,Duxiga afafka ee jam'aadda mux dixoo. Ama qabdaha dabaal waya qa naan. Daan no. Dayaka a medyadi. Mamma alim baatahay. Laan teyda.,dugsiga afafka ee jaamacadda Muqdisho Ama gabdhaha dabaal way yaqaannaan. daanno dayaxgacmeedyadii Ma macallin baa tahay? laantayda
clip44,faster-whisper:large-v3,1.0,0.4333,14,13,False,Waaddeen Qadana Qubaxaa uguu Dayaha qaamayad qooda Moogi Nafida barro Qoodad Qubadda aqta,Waa diin|m. Hodon ubaxa ugu weyn dayaxgacmeedkooda Ma ogi. lafdhabarro guudad kubbadda cagta
clip45,faster-whisper:large-v3,0.9231,0.2979,13,13,False,"Hestaa abuwaa, buu diddaa. Muduuktii hara. Faraggari. Zuban hadal keeda. Ilmuhu, yaanyuur, mahalaan.",heestee abboowe boodidda Mudugtii hore fure gaari Suubban hadalkeeda Ilmuhu yaanyuur ma heleen?
clip46,faster-whisper:large-v3,1.0,0.3178,21,21,False,Id maad la ku lan tasharay. Faadumu uaysu geysa. Maanarki war samay. So ibsu. Fasalkaya dhigata. Baar. Buuk aya isi samariya.,Cidmaad la kulantay shalay? Faadumo way sugaysaa. Waxaan arkay Warsame. Soo iibso! Fasalkee dhigataa? beer|m Buug ayay i siisay Maryan.
